
2024/12/12 (08:34:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (08:34:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/12 (08:34:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (08:34:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/12 (08:34:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/12 (08:34:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/12 (08:44:39) | ===> btop++ v.1.4.0
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get GPU temperature
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get GPU utilization
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get total VRAM
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get VRAM usage
2024/12/12 (08:44:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/12 (08:44:45) | ===> btop++ v.1.4.0
2024/12/12 (08:44:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/12 (08:44:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (08:44:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/12 (08:44:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/12 (08:44:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/12 (08:44:49) | ===> btop++ v.1.4.0
2024/12/12 (08:44:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/12 (08:44:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (08:44:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/12 (08:44:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/12 (08:44:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/12 (08:44:54) | ===> btop++ v.1.4.0
2024/12/12 (08:44:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/12 (08:44:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (08:44:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/12 (08:44:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/12 (08:44:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/12 (09:44:41) | ===> btop++ v.1.4.0
2024/12/12 (09:44:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (09:44:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/12 (09:44:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (09:44:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/12 (09:44:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/12 (09:44:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/12 (10:27:48) | ===> btop++ v.1.4.0
2024/12/12 (10:27:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (10:27:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/12 (10:27:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/12 (10:27:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/12 (10:27:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/12 (10:27:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/14 (23:28:31) | ===> btop++ v.1.4.0
2024/12/14 (23:28:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/14 (23:28:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/14 (23:28:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/14 (23:28:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/14 (23:28:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/14 (23:28:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (11:05:20) | ===> btop++ v.1.4.0
2024/12/19 (11:05:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (11:05:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/19 (11:05:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (11:05:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/19 (11:05:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/19 (11:05:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/22 (18:20:44) | ===> btop++ v.1.4.0
2024/12/22 (18:20:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/22 (18:20:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/22 (18:20:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/22 (18:20:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/22 (18:20:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/22 (18:20:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/30 (18:20:53) | ===> btop++ v.1.4.0
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/30 (18:20:53) | ===> btop++ v.1.4.0
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/30 (18:20:53) | ===> btop++ v.1.4.0
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/30 (18:20:53) | ===> btop++ v.1.4.0
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/30 (18:20:53) | ===> btop++ v.1.4.0
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/12/30 (18:20:53) | ===> btop++ v.1.4.0
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/30 (18:20:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/31 (20:11:39) | ===> btop++ v.1.4.0
2024/12/31 (20:11:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/31 (20:11:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/31 (20:11:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/31 (20:11:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/31 (20:11:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/31 (20:11:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (17:55:04) | ===> btop++ v.1.4.0
2025/01/06 (17:55:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (17:55:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/06 (17:55:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (17:55:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/06 (17:55:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/06 (17:55:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/07 (10:40:32) | ===> btop++ v.1.4.0
2025/01/07 (10:40:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/07 (10:40:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/07 (10:40:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/07 (10:40:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/07 (10:40:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/07 (10:57:02) | ===> btop++ v.1.4.0
2025/01/07 (10:57:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/07 (10:57:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/07 (10:57:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/07 (10:57:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/07 (10:57:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/08 (17:32:35) | ===> btop++ v.1.4.0
2025/01/08 (17:32:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/08 (17:32:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/08 (17:32:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/08 (17:32:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/08 (17:32:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/08 (17:32:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/08 (17:33:46) | ===> btop++ v.1.4.0
2025/01/08 (17:33:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/08 (17:33:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/08 (17:33:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/08 (17:33:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/08 (17:33:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/08 (17:33:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/08 (18:19:28) | ===> btop++ v.1.4.0
2025/01/08 (18:19:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/08 (18:19:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/08 (18:19:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/08 (18:19:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/08 (18:19:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/08 (18:19:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/13 (17:45:08) | ===> btop++ v.1.4.0
2025/01/13 (17:45:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/13 (17:45:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/13 (17:45:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/13 (17:45:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/13 (17:45:08) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/13 (17:45:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/13 (17:46:57) | ===> btop++ v.1.4.0
2025/01/13 (17:46:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/13 (17:46:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/13 (17:46:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/13 (17:46:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/13 (17:46:57) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/13 (17:46:57) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/01/14 (12:27:45) | ERROR: Stall in Runner thread, restarting!

2025/01/16 (11:15:30) | ===> btop++ v.1.4.0
2025/01/16 (11:15:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/16 (11:15:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/01/16 (11:15:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/16 (11:15:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/01/16 (11:15:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/01/16 (11:15:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/17 (15:50:09) | ===> btop++ v.1.4.0
2025/01/17 (15:50:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
